iter	Passed	Remaining
0	0	58
1	1	52
2	1	49
3	1	45
4	2	44
5	2	44
6	3	43
7	3	43
8	4	42
9	4	41
10	5	41
11	5	40
12	6	40
13	6	40
14	6	39
15	7	38
16	7	38
17	8	38
18	8	37
19	9	36
20	9	36
21	10	35
22	10	35
23	11	35
24	11	34
25	12	34
26	12	33
27	12	33
28	13	32
29	13	32
30	14	31
31	14	31
32	15	30
33	15	30
34	16	29
35	16	29
36	17	28
37	17	28
38	17	28
39	18	27
40	18	27
41	19	26
42	19	25
43	19	25
44	20	24
45	20	24
46	21	23
47	21	23
48	22	23
49	22	22
50	23	22
51	23	21
52	23	21
53	24	20
54	24	20
55	25	19
56	25	19
57	26	18
58	26	18
59	27	18
60	27	17
61	27	17
62	28	16
63	28	16
64	29	15
65	29	15
66	30	14
67	30	14
68	31	13
69	31	13
70	31	13
71	32	12
72	32	12
73	33	11
74	33	11
75	34	10
76	34	10
77	35	9
78	35	9
79	35	8
80	36	8
81	36	8
82	37	7
83	37	7
84	38	6
85	38	6
86	39	5
87	39	5
88	40	4
89	40	4
90	41	4
91	41	3
92	41	3
93	42	2
94	42	2
95	43	1
96	43	1
97	44	0
98	44	0
99	45	0
